Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Variation
2016-05-15,462.6,465.9,448.2,461.47,36532.037005659964,16705177.596576445,431.62760267602124,-0.24427150886294755
2016-05-22,461.48,461.59,435.0,442.48,40882.127028759984,18402011.48218684,435.8827288436123,-4.117188177169108
2016-05-29,442.45,549.99,440.5,525.22,56036.32912886011,26710795.13172003,456.20753248351747,18.70719855350888
2016-06-05,525.22,594.64,519.0,575.17,48638.88783746988,26729977.124452833,531.3587964322979,9.510300445527575
2016-06-12,575.17,687.71,483.78,677.86,56200.16317191998,33847093.34029666,581.7644996237574,17.853851904654285
2016-06-19,677.45,785.15,650.02,768.76,81705.75416346994,59052145.62840118,715.549622261294,13.478485497084646
2016-06-26,768.94,768.94,544.13,638.56,104271.82715997999,68682485.30076653,657.5021316747504,-16.955809295913866
2016-07-03,638.56,705.25,630.0,663.55,44883.83737968003,29712084.57069379,647.0376868003171,3.9134928589326003
2016-07-10,664.09,683.69,608.0,652.44,51689.89709130997,33870652.198262244,584.2672154544684,-1.7542802933337314
2016-07-17,652.43,680.99,640.0,680.0,53591.377147110026,35507113.70534791,590.8429783737755,4.225740692488091
2016-07-24,680.0,684.94,647.59,661.0,31093.784871869975,20703846.9844674,637.4942966139932,-2.794117647058824
2016-07-31,660.92,664.13,621.37,626.97,33106.347236720074,21601355.299928807,630.8163510857007,-5.136779035284139
2016-08-07,626.97,629.34,483.0,595.14,65303.17110565001,37588510.82018933,563.5373814313828,-5.076797932915457
2016-08-14,595.14,601.09,565.19,574.99,34037.03782432006,20035328.67323642,572.6598205442411,-3.3857579729139324
2016-08-21,574.97,583.99,561.56,581.29,27632.557925180008,15889099.70488539,556.3179894074757,1.0991877837104433
2016-08-28,581.34,586.99,568.95,575.41,26552.982004349997,15361853.174242215,559.9625677479738,-1.0200571094368294
2016-09-04,575.41,617.13,568.12,611.92,32516.62351396997,18859218.376346756,567.6991436933109,6.345040927338766
2016-09-11,611.94,631.3,591.8,607.94,28698.064265639994,17707428.022195518,603.2910667625537,-0.653658855443344
2016-09-18,607.94,611.99,603.0,611.4,25789.780217309893,15679051.01520692,591.2181914040267,0.5691351120176206
2016-09-25,611.4,612.46,592.63,601.67,25565.171257179947,15397180.01086642,575.2165357397433,-1.5914295060516879
2016-10-02,601.67,617.19,600.02,612.4,27473.417458619988,16682960.486850107,591.0298500342768,1.7833696212209382
2016-10-09,612.42,620.0,606.93,617.42,28115.931284279854,17255796.903019954,601.9783845518981,0.8164331667809674
2016-10-16,617.43,647.03,615.46,641.92,25990.366564919914,16461665.19541682,540.6181865159323,3.966441539931654
2016-10-23,642.1,658.0,625.6,651.04,28537.956143159867,18171173.63516123,615.4812832959547,1.392306494315518
2016-10-30,651.05,725.64,645.81,697.41,35893.742835689874,24452337.431912158,665.412159533528,7.120804853697875
2016-11-06,697.39,746.16,672.06,717.02,38053.85031734,27104917.972414702,699.265139484841,2.814780825649923
2016-11-13,717.04,747.26,685.7,704.01,35695.79766369012,25556467.083540093,698.579287806582,-1.817192904161549
2016-11-20,704.01,753.81,671.23,731.99,31888.045583270035,23218907.72205623,699.0285783171099,3.9743753639863098
2016-11-27,731.72,748.77,726.0,729.24,22908.585724389974,16886331.306297127,720.8601603283986,-0.33892745859072027
2016-12-04,729.24,780.0,728.2,767.99,27793.478043839943,20860250.65894436,737.0554292635074,5.313751302726126
